Sl no.    Player    Score     Rank      Time
1         Sami      12        3         20:00
2         Sami      12        3         20:00
3         Sami      12        3         20:00
4         Sami      12        3         20:00
5         Sami      12        3         20:00
6         Sami      12        3         20:00
7         Sami      12        3         20:00
8         Sami      12        3         20:00
9         Sami      12        3         20:00
10         Sami      12        3         20:00
11         Sami      12        3         20:00
12         Sami      12        3         20:00
13         Sami      12        3         20:00
14         Sami      12        3         20:00
15         Sami      12        3         20:00
16         Sami      12        3         20:00
17         Sami      12        3         20:00
18         Sami      12        3         20:00
19         Sami      12        3         20:00
20         Sami      12        3         20:00
21         Sami      12        3         20:00
22         Sami      12        3         20:00
23         Sami      12        3         20:00
24         Sami      12        3         20:00
24         Sami      12        3         20:00
26         Sami      12        3         20:00
27         Sami      12        3         20:00
28         Sami      12        3         20:00
29         Sami      12        3         20:00
30         Sami      12        3         20:00
31         Sami      12        3         20:00
32		   Sami      12        3         20:00
33         Sami      12        3         20:00
34         Sami      12        3         20:00
35         Sami      12        3         20:00
36         Sami      12        3         20:00
37         Sami      12        3         20:00
38         Sami      12        3         20:00
39         Sami      12        3         20:00
40         Sami      12        3         20:00
41         Sami      12        3         20:00
42         Sami      12        3         20:00
43         Sami      12        3         20:00
44         Sami      12        3         20:00
45         Sami      12        3         20:00
46         Sami      12        3         20:00
47         Sami      12        3         20:00
48         Sami      12        3         20:00
49         Sami      12        3         20:00
50         Sami      12        3         20:00
51         Sami      12        3         20:00
52         Sami      12        3         20:00
53         Sami      12        3         20:00
54         Sami      12        3         20:00
55         Sami      12        3         20:00
56         Sami      12        3         20:00
57         Sami      12        3         20:00
58         Sami      12        3         20:00
59         Sami      12        3         20:00
60         Sami      12        3         20:00
1         Sami      12        3         20:00
1         Sami      12        3         20:00
1         Sami      12        3         20:00
1         Sami      12        3         20:00
1         Sami      12        3         20:00
